1:0.567589 2:0.67093 3:-0.30948 4:0.502463 5:0.16516 6:0.359564 7:0.216628 8:-0.576618 9:-0.553304 10:0.193161 11:0.243311 12:0.450137 13:0.133773
1:0.531913 2:0.655334 3:-0.26848 4:0.49496 5:0.183906 6:0.379871 7:0.227378 8:-0.591428 9:-0.517014 10:0.171272 11:0.196925 12:0.437402 13:0.128795
1:0.455065 2:0.604553 3:-0.192704 4:0.470155 5:0.17546 6:0.409605 7:0.244324 8:-0.616815 9:-0.435876 10:0.094683 11:0.118716 12:0.415051 13:0.116447
1:0.384547 2:0.553546 3:-0.121999 4:0.445472 5:0.165555 6:0.429323 7:0.2578 8:-0.63024 9:-0.360044 10:0.017398 11:0.051195 12:0.403425 13:0.107195
1:0.335684 2:0.509729 3:-0.080104 4:0.432201 5:0.153721 6:0.431547 7:0.251202 8:-0.624624 9:-0.306351 10:-0.050414 11:0.01018 12:0.395959 13:0.096689
1:0.286182 2:0.457392 3:-0.049834 4:0.416096 5:0.128701 6:0.427669 7:0.234657 8:-0.603468 9:-0.255768 10:-0.115205 11:-0.03177 12:0.385073 13:0.07999
1:0.23246 2:0.400752 3:-0.016313 4:0.384668 5:0.096617 6:0.431951 7:0.22818 8:-0.579596 9:-0.20082 10:-0.170446 11:-0.084167 12:0.366512 13:0.064917
1:0.171909 2:0.339301 3:0.029962 4:0.332197 5:0.064229 6:0.428257 7:0.238007 8:-0.552119 9:-0.126101 10:-0.223673 11:-0.138916 12:0.317442 13:0.051745
1:0.084067 2:0.253364 3:0.102742 4:0.243289 5:0.031066 6:0.392606 7:0.240293 8:-0.502154 9:-0.007903 10:-0.291097 11:-0.211888 12:0.226952 13:0.030204
1:-0.052222 2:0.119195 3:0.211757 4:0.11997 5:-0.001094 6:0.335729 7:0.211414 8:-0.415624 9:0.15911 10:-0.382967 11:-0.319409 12:0.116377 13:-0.002136
1:-0.193203 2:-0.036401 3:0.320773 4:-0.002102 5:-0.028347 6:0.269131 7:0.155482 8:-0.31021 9:0.313113 10:-0.463066 11:-0.412501 12:0.013868 13:-0.031518
1:-0.268636 2:-0.13182 3:0.386485 4:-0.080062 5:-0.027466 6:0.21117 7:0.104404 8:-0.237287 9:0.384979 10:-0.497708 11:-0.455065 12:-0.054225 13:-0.051471
1:-0.27677 2:-0.147105 3:0.397932 4:-0.104721 5:-0.003737 6:0.173938 7:0.071254 8:-0.204874 9:0.387746 10:-0.501683 11:-0.460676 12:-0.081059 13:-0.066779
1:-0.770398 2:-0.699972 3:0.480801 4:-0.445203 5:-0.278928 6:-0.395142 7:-0.052322 8:0.385614 9:0.567398 10:-0.255501 11:-0.460944 12:-0.389926 13:0.015974
1:-0.795107 2:-0.737109 3:0.484745 4:-0.438775 5:-0.277591 6:-0.383087 7:-0.038424 8:0.386267 9:0.606112 10:-0.298532 11:-0.465967 12:-0.406106 13:0.024912
1:-0.788639 2:-0.764509 3:0.448432 4:-0.434792 5:-0.273991 6:-0.392441 7:-0.058519 8:0.421135 9:0.617039 10:-0.315568 11:-0.424524 12:-0.410359 13:0.027519
1:-0.748049 2:-0.768755 3:0.37432 4:-0.424967 5:-0.271059 6:-0.420061 7:-0.104263 8:0.480685 9:0.586627 10:-0.289136 11:-0.33186 12:-0.417986 13:0.030008
1:-0.668702 2:-0.736401 3:0.268071 4:-0.395274 5:-0.259255 6:-0.460399 7:-0.163845 8:0.539687 9:0.514418 10:-0.214896 11:-0.196123 12:-0.435807 13:0.033634
1:-0.569616 2:-0.685791 3:0.156494 4:-0.353557 5:-0.238261 6:-0.481771 7:-0.215746 8:0.571264 9:0.428972 10:-0.132577 11:-0.065544 12:-0.442048 13:0.033301
1:-0.484244 2:-0.645398 3:0.060948 4:-0.321469 5:-0.213711 6:-0.48337 7:-0.255113 8:0.595528 9:0.358532 10:-0.078937 11:0.027361 12:-0.426099 13:0.014171
1:-0.388406 2:-0.592552 3:-0.037619 4:-0.285617 5:-0.178878 6:-0.47431 7:-0.291873 8:0.621255 9:0.280561 10:-0.032499 11:0.111956 12:-0.376405 13:-0.023187
1:-0.238013 2:-0.475479 3:-0.158671 4:-0.213009 5:-0.116441 6:-0.438861 7:-0.312068 8:0.620811 9:0.153889 10:0.044606 11:0.222977 12:-0.273665 13:-0.05643
1:-0.07596 2:-0.322006 3:-0.273115 4:-0.113347 5:-0.04167 6:-0.380532 7:-0.297227 8:0.583357 9:0.008131 10:0.130512 11:0.333383 12:-0.148875 13:-0.062349
1:0.035953 2:-0.202244 3:-0.351119 4:-0.035559 5:0.019658 6:-0.34376 7:-0.268971 8:0.546425 9:-0.107386 10:0.200054 11:0.415413 12:-0.064394 13:-0.050922
1:0.540409 2:0.606931 3:-0.321234 4:0.459939 5:0.165297 6:0.412729 7:0.159152 8:-0.550657 9:-0.520894 10:0.144013 11:0.227813 12:0.399426 13:0.14128
1:0.509536 2:0.595099 3:-0.278903 4:0.470741 5:0.159387 6:0.411718 7:0.199261 8:-0.572518 9:-0.495874 10:0.105138 11:0.205315 12:0.405736 13:0.133832
1:0.502568 2:0.607667 3:-0.246201 4:0.483034 5:0.172346 6:0.409329 7:0.229363 8:-0.601431 9:-0.489141 10:0.101163 11:0.184046 12:0.42039 13:0.134871
